h3_cell,listing_count,unlicensed_rate,mean_price,coef_bw30,coef_bw60,coef_bw101,sig_bw30,sig_bw60,sig_bw101
881ec900e3fffff,6,0.6666666666666666,3770.0,-0.22451057786106388,-0.18400966547495037,-0.17248203574445614,1,1,1
881ec90209fffff,97,0.17525773195876287,5242.556701030928,-0.23000859822749908,-0.1867245003433426,-0.14010088318131075,1,1,1
881ec9020dfffff,257,0.1828793774319066,3295.568093385214,-0.11416619501012817,-0.13494955230671365,-0.12459290015677717,0,1,1
881ec90213fffff,604,0.27980132450331124,2479.801324503311,0.0926168850175155,-0.07930441340424674,-0.11162661328611184,0,0,1
881ec90217fffff,115,0.25217391304347825,3020.0173913043477,0.05858094463533268,-0.08787003317461987,-0.10206830482820198,0,0,1
881ec9021bfffff,130,0.3153846153846154,2225.607692307692,-0.020557620620725692,-0.11157802905202527,-0.12682725076316265,0,1,1
881ec90241fffff,20,0.25,4148.05,-0.1145572810920612,-0.19771166011020563,-0.18532655981028962,0,1,1
881ec90243fffff,16,0.3125,2845.5625,-0.2740110371987332,-0.19956651856708893,-0.17561678281996332,1,1,1
881ec90245fffff,21,0.14285714285714285,3453.6190476190477,-0.12087817509907292,-0.17245014508916912,-0.16243525314904914,0,1,1
881ec90247fffff,227,0.18502202643171806,4312.251101321586,-0.06743974172321623,-0.17062640884730956,-0.15406074339810866,0,1,1
881ec90249fffff,1403,0.09907341411261582,4991.684248039915,-0.2599836240384301,-0.24107300578961785,-0.20895840977917662,0,1,1
881ec9024bfffff,41,0.2682926829268293,3638.4146341463415,-0.2733004984964901,-0.21081434875671226,-0.2079812170757362,1,1,1
881ec9024dfffff,56,0.23214285714285715,2216.6785714285716,-0.18145707887859522,-0.21133833401002958,-0.18311172321102237,0,1,1
881ec90253fffff,12,0.9166666666666666,1442.4166666666667,-0.32725804537584696,-0.24468917504040533,-0.1666886087634606,1,1,1
881ec90259fffff,7,0.14285714285714285,4439.0,-0.2916462357337929,-0.2736844105424774,-0.2233799877631802,1,1,1
881ec9025bfffff,50,0.4,3238.28,-0.3324639460625817,-0.2922102509677643,-0.20727745001937325,1,1,1
881ec90261fffff,5,0.0,1345.8,-0.02859635455552839,-0.10846999938975742,-0.12499925371846703,0,0,1
881ec90269fffff,124,0.25,2411.7580645161293,-0.0718386870260733,-0.13208588310735192,-0.14401682249909453,0,1,1
881ec9026bfffff,799,0.17271589486858574,3278.123904881101,-0.06459371975154105,-0.1403716597274921,-0.13742488001802694,0,1,1
881ec9026dfffff,14,0.8571428571428571,1900.7142857142858,-0.017198444777685618,-0.10134017785251612,-0.12981605285019981,0,0,1
881ec90281fffff,12,0.5,5165.416666666667,-0.13280085368934952,-0.04279205115895479,-0.12718554352040168,0,0,1
881ec90283fffff,5,0.8,5031.4,-0.2141721951040549,-0.08657839473954497,-0.14420970638628483,1,0,1
881ec90289fffff,5,1.0,3568.0,-0.06828267773676291,-0.036505065579006374,-0.11983918585028819,0,0,1
881ec9028bfffff,14,0.6428571428571429,2932.9285714285716,-0.17428547000743744,-0.07689749968482959,-0.14077569735442366,0,0,1
881ec90291fffff,7,0.7142857142857143,2890.0,-0.2158225447680121,-0.17246566350314635,-0.16476854940186547,1,1,1
881ec90293fffff,7,0.2857142857142857,4186.714285714285,-0.16061233269233904,-0.19071199919357398,-0.1735139596473616,0,1,1
881ec90295fffff,6,0.5,4206.0,-0.23916284858792985,-0.13426586353728967,-0.1561174695843057,1,1,1
881ec90297fffff,9,0.5555555555555556,3014.1111111111113,-0.16460922686806181,-0.16737435696304745,-0.1677174956819772,0,1,1
881ec90299fffff,5,1.0,1402.0,-0.24158947684623205,-0.18498834510560297,-0.1643283942517076,1,1,1
881ec902b9fffff,7,0.2857142857142857,5116.428571428572,-0.21856916741221394,-0.09475225262318554,-0.14524403127862712,1,0,1
881ec902c1fffff,38,0.5789473684210527,3094.342105263158,0.08535035054233973,-0.03142359185768853,-0.11071593242435498,0,0,1
881ec902c5fffff,32,0.375,2987.15625,0.11129578132485846,-0.04653231316793198,-0.10353210141087307,0,0,1
881ec902c7fffff,14,0.6428571428571429,2656.6428571428573,0.05796679186162257,-0.022620253475858193,-0.10560459716096415,0,0,1
881ec902c9fffff,21,0.5238095238095238,1938.857142857143,0.09155930241946239,-0.055899294692009244,-0.11919380719472006,0,0,1
881ec902cbfffff,18,0.7777777777777778,3121.722222222222,0.026126038599320694,-0.042970181967819265,-0.12312117361862263,0,0,1
881ec902cdfffff,46,0.45652173913043476,2446.0652173913045,0.08281771864381884,-0.05695577840250586,-0.11470237854971739,0,0,1
881ec902d1fffff,21,0.23809523809523808,4488.476190476191,-0.1591992585118679,-0.12025558610820378,-0.15113052530777202,0,1,1
881ec902d5fffff,6,0.6666666666666666,2129.0,-0.1137568071920872,-0.06371734586435196,-0.13603079622255337,0,0,1
881ec902d9fffff,5,0.8,1636.8,-0.14806153505630415,-0.11341413069020556,-0.1528569912508323,0,0,1
881ec902dbfffff,24,0.5416666666666666,3956.875,-0.20328569542222916,-0.1772786879207514,-0.1636414973188255,1,1,1
881ec902e3fffff,14,0.14285714285714285,5487.571428571428,0.04440167008260193,-0.01697874380286843,-0.09157700946041293,0,0,1
881ec902e9fffff,93,0.43010752688172044,2847.2473118279568,0.11096667721761479,-0.05213048899271731,-0.10011737304095211,0,0,1
881ec902ebfffff,6,0.8333333333333334,5758.5,0.09518867997118961,-0.017550446634643918,-0.09843405408807468,0,0,1
